	102492	S	12	5	9	21	21	34	12.68	0.07	0.63				650	92	45	43	992	88	55	52	67	904	0	0	0	372	0	0																		122.51	0.00	18.28	0.00	
	102552	S	12	5	9	21	26	36	12.60	0.06	0.62				648	763	925	587	994	729	89	65	78	80	47	48	84	78	46	47																		122.43	0.00	18.23	0.00	
	102612	S	12	5	9	21	31	41	12.63	0.06	0.63				647	765	68	55	996	730	80	60	79	80	47	48	84	78	47	48																		122.38	0.00	18.17	0.00	
	102672	S	12	5	9	21	36	47	12.62	0.03	0.63				646	763	79	57	55	54	53	53	76	76	47	48	81	74	47	47																		122.30	0.00	18.11	0.00	
	102732	S	12	5	9	21	41	53	12.62	0.06	0.62				646	763	71	54	995	729	84	59	73	75	46	47	80	73	45	46																		122.26	0.00	18.06	0.00	
	102791	S	12	5	9	21	46	55	12.62	0.04	0.62				647	762	75	54	997	728	76	57	71	73	44	46	78	72	65	62																		122.21	0.00	18.01	0.00	
	102851	S	12	5	9	21	51	59	12.62	0.06	0.62				646	762	80	56	999	730	83	57	76	573	0	0	4	17	0	12																		122.18	0.00	17.96	0.00	
	102911	S	12	5	9	21	57	4	12.65	0.02	0.62				645	762	72	54	995	727	89	58	75	76	46	47	80	73	45	47																		122.14	0.00	17.91	0.00	
	102971	S	12	5	9	22	2	10	12.63	0.04	0.63				646	762	72	54	997	729	84	60	78	80	47	48	84	77	45	47																		122.10	0.00	17.87	0.00	
	103031	S	12	5	9	22	7	15	12.63	0.05	0.63				646	763	76	53	992	727	89	61	79	659	0	0	0	111	24	44																		122.03	0.00	17.81	0.00	
	103091	S	12	5	9	22	12	20	12.62	0.06	0.63				644	763	66	53	993	727	91	69	79	82	47	49	85	80	46	49																		121.94	0.00	17.77	0.00	
	103151	S	12	5	9	22	17	25	12.64	0.01	0.63				646	765	77	56	994	726	82	59	77	80	47	48	85	79	46	48																		121.87	0.00	17.72	0.00	
	103211	S	12	5	9	22	22	29	12.61	0.02	0.63				646	759	75	56	991	725	89	66	79	80	47	49	84	79	47	49																		121.79	0.00	17.67	0.00	
	103271	S	12	5	9	22	27	32	12.60	0.04	0.63				643	762	75	56	994	725	88	63	80	82	48	49	86	80	47	49																		121.75	0.00	17.62	0.00	
	103331	S	12	5	9	22	32	35	12.60	0.07	0.63				644	761	68	53	992	725	83	60	79	81	48	50	85	79	47	48																		121.71	0.00	17.59	0.00	
	103391	S	12	5	9	22	37	38	12.60	0.04	0.63				646	761	71	54	988	726	79	60	80	82	48	49	86	80	47	48																		121.63	0.00	17.54	0.00	
	103451	S	12	5	9	22	42	41	12.62	0.04	0.63				645	763	72	54	991	725	84	60	80	81	48	49	85	79	47	48																		121.57	0.00	17.49	0.00	
	103511	S	12	5	9	22	47	44	12.60	0.03	0.63				644	760	73	56	988	724	81	60	79	82	48	49	85	80	47	49																		121.53	0.00	17.47	0.00	
	103571	S	12	5	9	22	52	46	12.57	0.02	0.63				645	762	921	582	990	721	93	80	78	81	47	49	85	79	46	48																		121.48	0.00	17.42	0.00	
	103631	S	12	5	9	22	57	48	12.57	0.02	0.63				642	760	78	57	989	724	84	63	79	83	48	50	85	81	46	49																		121.42	0.00	17.37	0.00	
	103691	S	12	5	9	23	2	49	12.59	0.05	0.62				643	761	70	54	992	722	87	65	81	83	47	50	86	81	47	49																		121.37	0.00	17.34	0.00	
	103751	S	12	5	9	23	7	50	12.57	0.03	0.62				640	758	72	56	993	720	86	66	79	82	47	49	85	80	47	49																		121.32	0.00	17.29	0.00	
	103811	S	12	5	9	23	12	51	12.62	0.04	0.63				643	759	78	57	989	723	89	71	80	84	48	50	86	81	47	49																		121.29	0.00	17.26	0.00	
	103871	S	12	5	9	23	17	52	12.59	0.04	0.63				642	760	78	55	988	725	85	62	79	82	48	49	86	80	46	49																		121.23	0.00	17.22	0.00	
	103931	S	12	5	9	23	22	53	12.59	0.05	0.63				642	759	77	55	988	722	87	64	81	82	48	50	86	80	47	49																		121.15	0.00	17.19	0.00	
	103991	S	12	5	9	23	27	55	12.56	0.00	0.63				640	759	81	60	991	722	560	453	81	82	49	49	85	80	47	48																		121.11	0.00	17.15	0.00	
	104051	S	12	5	9	23	32	57	12.58	0.05	0.63				640	760	81	56	989	720	87	62	82	84	49	50	86	81	48	50																		121.07	0.00	17.10	0.00	
	104111	S	12	5	9	23	37	59	12.59	0.01	0.64				640	759	79	57	987	721	86	59	82	83	49	50	86	80	47	49																		121.01	0.00	17.09	0.00	
	104171	S	12	5	9	23	43	3	12.58	0.07	0.64				641	760	82	55	988	721	93	69	81	81	49	50	84	79	48	48																		121.00	0.00	17.04	0.00	
	104231	S	12	5	9	23	48	6	12.55	0.02	0.64				640	757	73	53	990	722	75	58	83	83	50	50	85	79	47	49																		120.96	0.00	17.02	0.00	
	104291	S	12	5	9	23	53	9	12.59	0.04	0.64				639	759	79	58	988	720	77	59	82	82	50	50	85	79	48	50																		120.89	0.00	16.97	0.00	
	104351	S	12	5	9	23	58	11	12.57	0.04	0.64				639	756	74	56	987	721	89	64	83	83	50	51	86	80	48	50																		120.87	0.00	16.96	0.00	
	104411	S	12	5	10	0	3	15	12.54	0.03	0.64				639	759	75	57	55	54	54	53	82	82	50	51	84	79	49	49																		120.82	0.00	16.92	0.00	
	104471	S	12	5	10	0	8	18	12.58	0.02	0.64				639	758	74	58	986	719	77	60	81	81	84	75	84	78	71	68																		120.76	0.00	16.88	0.00	
	104531	S	12	5	10	0	13	23	12.54	0.02	0.64				639	759	72	56	983	720	82	57	82	81	48	50	84	78	47	48																		120.73	0.00	16.84	0.00	
	104591	S	12	5	10	0	18	27	12.57	0.08	0.65				639	759	60	51	986	719	91	70	81	81	49	50	84	78	47	47																		120.69	0.00	16.82	0.00	
	104651	S	12	5	10	0	23	28	12.56	0.03	0.65				639	760	82	57	987	718	82	60	83	84	50	50	85	80	47	49																		120.65	0.00	16.78	0.00	
	104711	S	12	5	10	0	28	30	12.57	0.05	0.66				639	759	73	56	988	720	91	66	83	83	48	50	85	80	47	49																		120.63	0.00	16.75	0.00	
	104771	S	12	5	10	0	33	32	12.55	0.02	0.66				638	757	83	55	987	720	90	65	83	82	49	50	50	50	50	50																		120.59	0.00	16.73	0.00	
	104831	S	12	5	10	0	38	34	12.56	0.04	0.67				639	759	84	59	989	720	560	452	83	84	49	50	87	82	47	50																		120.54	0.00	16.67	0.00	
	104891	S	12	5	10	0	43	35	12.57	0.05	0.67				639	759	69	54	990	720	94	70	83	84	49	51	87	82	48	49																		120.50	0.00	16.66	0.00	
	104951	S	12	5	10	0	48	38	12.56	0.02	0.67				640	760	69	53	988	720	91	66	83	86	50	52	88	82	48	50																		120.47	0.00	16.61	0.00	
	105011	S	12	5	10	0	53	39	12.53	0.03	0.68				640	759	84	59	987	720	87	72	83	86	48	51	88	83	48	50																		120.41	0.00	16.58	0.00	
	105071	S	12	5	10	0	58	40	12.53	0.02	0.68				639	760	80	57	986	720	92	80	83	86	48	51	89	84	47	50																		120.36	0.00	16.55	0.00	
	105131	S	12	5	10	1	3	41	12.56	0.04	0.68				640	758	80	61	985	719	94	78	83	86	48	50	89	84	47	49																		120.30	0.00	16.49	0.00	
	105191	S	12	5	10	1	8	42	12.53	0.01	0.68				639	760	82	59	988	719	92	68	83	87	48	51	90	85	47	50																		120.26	0.00	16.46	0.00	
	105251	S	12	5	10	1	13	43	12.51	0.02	0.69				639	761	89	60	987	719	93	78	82	88	48	51	90	85	47	50																		120.21	0.00	16.42	0.00	
	105311	S	12	5	10	1	18	44	12.54	0.01	0.69				639	759	87	68	986	719	92	83	81	87	47	50	90	85	46	50																		120.16	0.00	16.40	0.00	
	105371	S	12	5	10	1	23	45	12.53	0.01	0.69				639	761	82	61	983	720	92	85	83	88	47	50	90	85	47	50																		120.12	0.00	16.34	0.00	
	105431	S	12	5	10	1	28	46	12.52	0.01	0.69				639	759	83	62	984	719	91	79	85	88	48	51	90	85	47	50																		120.06	0.00	16.30	0.00	
	105491	S	12	5	10	1	33	47	12.53	0.00	0.69				639	758	89	65	985	718	94	87	83	87	48	50	90	84	46	49																		120.01	0.00	16.25	0.00	
	105551	S	12	5	10	1	38	48	12.47	0.01	0.70				638	760	85	63	982	718	96	88	83	88	48	50	90	85	46	49																		119.97	0.00	16.22	0.00	
	105611	S	12	5	10	1	43	49	12.53	0.01	0.70				639	759	81	61	983	718	91	77	82	86	45	47	89	84	44	46																		119.90	0.00	16.16	0.00	
	105671	S	12	5	10	1	48	50	12.49	0.00	0.70				639	758	85	61	984	717	95	83	244	903	0	0	0	0	0	0																		119.86	0.00	16.14	0.00	
	105731	S	12	5	10	1	53	51	12.56	0.02	0.70				639	758	86	63	985	719	93	84	84	86	46	48	90	84	44	46																		119.77	0.00	16.08	0.00	
	105791	S	12	5	10	1	58	52	12.51	0.05	0.70				638	758	89	71	984	718	93	84	84	87	47	49	90	84	44	46																		119.74	0.00	16.05	0.00	
	105851	S	12	5	10	2	3	53	12.48	0.05	0.70				639	760	71	57	981	718	94	77	85	88	48	50	90	84	46	49																		119.66	0.00	15.98	0.00	
	105911	S	12	5	10	2	8	54	12.49	0.01	0.71				639	759	81	60	980	718	95	85	85	87	47	49	89	84	45	47																		119.57	0.00	15.93	0.00	
	105971	S	12	5	10	2	13	55	12.51	0.02	0.71				639	759	88	66	984	718	97	85	84	87	47	49	89	84	45	49																		119.52	0.00	15.89	0.00	
	106031	S	12	5	10	2	18	56	12.52	0.02	0.71				639	759	90	65	981	718	94	81	85	87	48	50	89	84	46	48																		119.44	0.00	15.84	0.00	
